order_id,order_date,customer_id,region,product,quantity,unit_price
1001,2026-04-01,C001,East,Laptop,1,900
1002,2026-04-01,C002,West,Mouse,2,25
1003,2026-04-02,C003,South,Keyboard,1,45
1004,2026-04-02,C004,East,Monitor,1,180
1005,2026-04-03,C005,North,Laptop,1,950
1006,2026-04-03,C006,West,Mouse,3,25
1007,2026-04-04,C007,South,Monitor,2,175
1008,2026-04-04,C008,East,Keyboard,1,50
1009,2026-04-05,C009,North,Mouse,4,20
1010,2026-04-05,C010,West,Laptop,1,920
1011,2026-04-06,C011,East,Monitor,1,200
1012,2026-04-06,C012,South,Keyboard,2,40
